B02682,1/13/2015,1092,9629
B02764,1/14/2015,3736,29550
B02765,1/14/2015,271,1600
B02598,1/14/2015,1030,8870
B02512,1/14/2015,233,1582
B02617,1/14/2015,1405,11965
B02682,1/14/2015,1174,9762
B02512,1/15/2015,237,1636
B02682,1/15/2015,1208,10391
B02617,1/15/2015,1457,12539
B02765,1/15/2015,270,1797
B02764,1/15/2015,3840,31214
B02598,1/15/2015,1068,9152
B02617,1/16/2015,1445,12977
B02765,1/16/2015,290,2082
B02764,1/16/2015,3975,34822
B02682,1/16/2015,1250,11280
B02512,1/16/2015,234,1481
B02598,1/16/2015,1079,9838
B02598,1/17/2015,974,9546
B02512,1/17/2015,201,1281
B02682,1/17/2015,1137,11382
B02765,1/17/2015,252,2160
B02617,1/17/2015,1306,12676
B02764,1/17/2015,3657,36318
B02512,1/18/2015,177,1521
B02598,1/18/2015,869,9443
B02765,1/18/2015,248,2287
B02764,1/18/2015,3290,35182
B02682,1/18/2015,1056,11161
B02617,1/18/2015,1223,12879
B02682,1/19/2015,883,7028
B02617,1/19/2015,992,7775
B02765,1/19/2015,238,1568
B02764,1/19/2015,2958,22750
B02512,1/19/2015,168,1025
B02598,1/19/2015,706,5609
B02598,1/20/2015,944,7206
B02682,1/20/2015,1151,8496
B02512,1/20/2015,221,1310
B02764,1/20/2015,3654,26137
B02765,1/20/2015,272,1608
B02617,1/20/2015,1350,10015
B02764,1/21/2015,3718,27344
B02512,1/21/2015,242,1519
B02682,1/21/2015,1228,9472
B02598,1/21/2015,1035,8041
B02765,1/21/2015,296,1774
B02617,1/21/2015,1429,10997
B02617,1/22/2015,1471,12143
B02764,1/22/2015,3889,30091
B02512,1/22/2015,246,1551
B02598,1/22/2015,1071,9080
B02682,1/22/2015,1295,10699
B02765,1/22/2015,295,2038
B02598,1/23/2015,1093,9343
B02512,1/23/2015,246,1670
B02765,1/23/2015,299,2162
B02764,1/23/2015,4040,33756
B02617,1/23/2015,1482,13121
B02682,1/23/2015,1330,11767
B02598,1/24/2015,945,10040
B02764,1/24/2015,3652,39187
B02512,1/24/2015,211,1608
B02617,1/24/2015,1367,14143
B02682,1/24/2015,1223,13355
B02765,1/24/2015,245,2376
B02512,1/25/2015,183,1190
B02764,1/25/2015,3300,28066
B02765,1/25/2015,226,1755
B02598,1/25/2015,829,7219
B02682,1/25/2015,1046,9303
B02617,1/25/2015,1203,10362
B02617,1/26/2015,1150,7608
B02598,1/26/2015,860,5919
B02765,1/26/2015,230,1363
B02764,1/26/2015,3012,19940
B02682,1/26/2015,1084,7565
B02512,1/26/2015,197,1000
B02682,1/27/2015,600,4414
B02765,1/27/2015,135,921
B02617,1/27/2015,596,4325
B02598,1/27/2015,434,2957
B02512,1/27/2015,112,629
B02764,1/27/2015,1619,11998
B02764,1/28/2015,3692,28137
B02682,1/28/2015,1235,10025
B02765,1/28/2015,286,1913
B02617,1/28/2015,1356,10862
B02598,1/28/2015,1011,8071
B02512,1/28/2015,235,1438
B02617,1/29/2015,1474,12600
B02764,1/29/2015,3959,31637
B02682,1/29/2015,1316,11485
B02765,1/29/2015,295,2086
B02512,1/29/2015,250,1687
B02598,1/29/2015,1082,9499
B02512,1/30/2015,256,2016
B02617,1/30/2015,1501,14793
B02682,1/30/2015,1384,13852
B02764,1/30/2015,4124,39110
B02765,1/30/2015,322,2785
B02598,1/30/2015,1106,11167
B02765,1/31/2015,309,3282
B02512,1/31/2015,225,1892
B02617,1/31/2015,1394,15756
B02682,1/31/2015,1321,15388
B02764,1/31/2015,3947,44297
B02598,1/31/2015,1027,11642
